时间,波长,传感器名称,物理量,波长,传感器名称,物理量,波长,传感器名称,物理量,波长,传感器名称,物理量,波长,传感器名称,物理量,波长,传感器名称,物理量,波长,传感器名称,物理量,波长,传感器名称,物理量,波长,传感器名称,物理量,波长,传感器名称,物理量,波长,传感器名称,物理量,波长,传感器名称,物理量,波长,传感器名称,物理量,波长,传感器名称,物理量,波长,传感器名称,物理量,波长,传感器名称,物理量,波长,传感器名称,物理量,波长,传感器名称,物理量,波长,传感器名称,物理量,波长,传感器名称,物理量,波长,传感器名称,物理量,波长,传感器名称,物理量,波长,传感器名称,物理量,波长,传感器名称,物理量,波长,传感器名称,物理量,波长,传感器名称,物理量,波长,传感器名称,物理量,波长,传感器名称,物理量,波长,传感器名称,物理量,波长,传感器名称,物理量,波长,传感器名称,物理量,波长,传感器名称,物理量,
2025-08-31 11:55:50.731	,1547.599243,0,0,
2025-08-31 11:56:00.731	,1547.603271,0,0,
2025-08-31 11:56:10.731	,1547.801147,0,0,
2025-08-31 11:56:20.731	,1547.850708,0,0,
2025-08-31 11:56:30.732	,1547.843140,0,0,
2025-08-31 11:56:40.731	,1547.831055,0,0,
2025-08-31 11:56:50.732	,1547.793091,0,0,
2025-08-31 11:57:00.731	,1549.619263,0,0,
2025-08-31 11:57:10.731	,1549.046997,0,0,
2025-08-31 11:57:20.731	,1549.072876,0,0,
2025-08-31 11:57:30.732	,1549.613403,0,0,
2025-08-31 11:57:40.731	,1549.608276,0,0,
2025-08-31 11:57:50.731	,1549.654053,0,0,
2025-08-31 11:58:00.731	,1549.608643,0,0,
2025-08-31 11:58:10.731	,1549.696533,0,0,1551.953125,0,0,
2025-08-31 11:58:20.731	,1549.670776,0,0,
2025-08-31 11:58:30.731	,1549.647095,0,0,
2025-08-31 11:58:40.732	,1549.672241,0,0,
2025-08-31 11:58:50.731	,1549.650879,0,0,
2025-08-31 11:59:00.731	,1549.665283,0,0,
2025-08-31 11:59:10.731	,1549.656616,0,0,
2025-08-31 11:59:20.731	,1550.259033,0,0,
2025-08-31 11:59:30.731	,1549.652954,0,0,
2025-08-31 11:59:40.732	,1550.253052,0,0,
2025-08-31 11:59:50.731	,1550.262939,0,0,
2025-08-31 12:00:00.731	,1550.281006,0,0,
2025-08-31 12:00:10.731	,1550.279053,0,0,
2025-08-31 12:00:20.731	,1550.319458,0,0,
2025-08-31 12:00:30.732	,1550.282959,0,0,
2025-08-31 12:00:40.731	,1550.325195,0,0,
2025-08-31 12:00:50.731	,1550.298828,0,0,
2025-08-31 12:01:00.732	,1550.343384,0,0,
2025-08-31 12:01:10.731	,1550.258423,0,0,
2025-08-31 12:01:20.731	,1550.276611,0,0,
2025-08-31 12:01:30.731	,1550.284058,0,0,
2025-08-31 12:01:40.731	,1550.272583,0,0,
2025-08-31 12:01:50.731	,1550.317383,0,0,
2025-08-31 12:02:00.731	,1550.337646,0,0,
2025-08-31 12:02:10.731	,1550.310303,0,0,
2025-08-31 12:02:20.731	,1550.344116,0,0,
2025-08-31 12:02:30.731	,1550.295044,0,0,
2025-08-31 12:02:40.731	,1547.872314,0,0,1550.258545,0,0,
2025-08-31 12:02:50.731	,1547.835449,0,0,1550.244629,0,0,
2025-08-31 12:03:00.731	,1547.818604,0,0,1550.281128,0,0,
